1411311;1;1
1411174;1;1
1411180;1;1
1411167;1;1
1411312;1;1
1411181;1;1
1411168;1;1
1109103;1;3
1109126;1;3
1109049;1;3
1411305;1;1
1411306;1;1
1411307;1;1
1109053;1;3
1109131;1;3
1411193;1;1
1114129;1;2
1411182;1;1
1411310;1;1
1411309;1;1
1411308;1;1
1411313;1;1
1411314;1;1
1114222;1;2
1411192;1;1
1411171;1;1
1411190;1;1
1411321;3;1
1305218;1;4
1411333;3;1
1411198;3;1
1411320;3;1
1411322;3;1
1411323;3;1
1411324;3;1
1411325;3;1
1411197;3;1
1411194;3;1
1302123;3;1
1411200;3;1
1411327;3;1
1411326;3;1
1411328;3;1
1411329;3;1
1411330;3;1
1411316;1;1
1411331;3;1
1411209;3;1
1411188;3;1
1411332;3;1
1411213;3;1
1411334;3;1
1411335;3;1
1411315;1;1
1411336;3;1
1411217;3;1
1411337;3;1
1411338;3;1
1411339;3;1
1411340;3;1
1411342;3;1
1411221;3;1
1411222;3;1
1411343;3;1
1411344;3;1
1411187;1;1
1411189;1;1
1411317;4;1
1411185;1;1
1411348;1;1
1411318;4;1
1109035;2;3
1307169;2;4
1301123;2;4
1411319;4;1
1109128;2;3
1305219;2;4
1303021;2;4
1108030;2;4
1108081;2;4
1108100;2;4
1108105;2;4
1411345;2;4
1307150;2;4
1307332;2;4
1411354;3;1
1411353;3;1
1411351;3;1
1411356;3;1
1411350;3;1
1411357;3;1
1411290;3;1
1411352;3;1
1411358;3;1
1411302;3;1
1411349;3;1
1411355;3;1
